name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Bajaj Pulsar 135 LS,20000,2011,blanc,1st owner,60000,
Hero Duet,37000,2016,blanc,1st owner,6000,
Hero Splendor NXG,18000,2011,blanc,1st owner,35000,
Hero Glamour 125,25000,2013,blanc,1st owner,50000,
Honda Activa 5G,46000,2018,blanc,1st owner,10000,
Yamaha Fascino 110,55000,2019,blanc,1st owner,7000,
Bajaj V15,40000,2016,blanc,1st owner,34000,
Hero Honda Passion PRO [2012],25000,2012,blanc,2nd owner,20000,
Honda Activa [2000-2015],25000,2012,blanc,1st owner,38000,
Bajaj Xcd,15000,2008,blanc,1st owner,100000,
Bajaj Pulsar NS160,70000,2018,blanc,1st owner,20000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,240000,
Yamaha RXG,25000,1997,blanc,1st owner,45354,
TVS Streak,10000,2009,blanc,1st owner,100000,
Bajaj Pulsar RS 200,80000,2015,blanc,1st owner,32000,
Yamaha Alpha,25000,2015,blanc,2nd owner,14000,
Honda Livo,35000,2016,blanc,1st owner,70000,
Mahindra Gusto,25000,2016,blanc,1st owner,13500,
Bajaj Discover 125,26000,2012,blanc,1st owner,75000,
Hero Glamour 125,15000,2011,blanc,1st owner,75000,
Honda CB Unicorn 160,50000,2017,blanc,1st owner,52000,
Hero Pleasure,26500,2013,blanc,1st owner,18860,
Royal Enfield Classic 350,135000,2017,blanc,1st owner,2700,
Honda CB Hornet 160R,80000,2016,blanc,1st owner,100000,
Bajaj CT 100,30000,2016,blanc,1st owner,38500,
Yamaha FZ S V 2.0,90000,2018,blanc,1st owner,10500,
Bajaj Pulsar 180,85000,2016,blanc,1st owner,35000,
Hero Glamour 125,54000,2013,blanc,1st owner,17000,
Bajaj CT 100,42000,2019,blanc,1st owner,2900,
Bajaj Discover 100 T,25000,2014,blanc,1st owner,30000,
TVS Star City Plus,50000,2016,blanc,2nd owner,14000,
Honda CB Unicorn 150,55000,2014,blanc,1st owner,10000,
Hero Passion PRO TR,35000,2014,blanc,1st owner,9556,
Honda CB Shine SP,50000,2018,blanc,1st owner,37000,
Bajaj V15,45000,2015,blanc,1st owner,2700,
Bajaj V15,45000,2016,blanc,1st owner,36000,
Bajaj Discover 100,28000,2015,blanc,2nd owner,52000,
Royal Enfield Electra 4 S,80000,2013,blanc,1st owner,46000,
KTM 200 Duke,130000,2016,blanc,1st owner,12000,
Bajaj Pulsar 220F,120000,2019,blanc,1st owner,6500,
Suzuki GS150R,27000,2012,blanc,1st owner,14100,
Honda Shine,30000,2014,blanc,1st owner,40000,
Honda CB Unicorn Dazzler,50000,2010,blanc,1st owner,75000,
Honda Livo,45000,2018,blanc,1st owner,10000,
Honda Aviator,28000,2009,blanc,1st owner,29625,
Honda Activa [2000-2015],6000,2006,blanc,2nd owner,35000,
Hero Hunk,35000,2016,blanc,1st owner,32000,
Honda Activa 125,30000,2014,blanc,1st owner,20000,
Bajaj Discover 110,15000,2007,blanc,1st owner,70000,
Hero Xtreme [2013-2014],45000,2013,blanc,1st owner,57000,
TVS Victor GLX,18000,2005,blanc,1st owner,11000,
Bajaj Pulsar NS200,85000,2018,blanc,1st owner,17500,
Honda Aviator,30000,2014,blanc,1st owner,7000,
Bajaj Platina 100,40000,2018,blanc,1st owner,17500,
TVS Sport,34000,2018,blanc,1st owner,25000,
Hero Honda Passion Plus,8000,2003,blanc,1st owner,53500,
Bajaj V15,70000,2018,blanc,1st owner,15000,
Honda Dio,50000,2016,blanc,1st owner,8000,
Honda Dream Yuga,35000,2015,blanc,1st owner,39448,
Hero Honda Splendor Plus,20000,2006,blanc,1st owner,75000,
Bajaj Pulsar 150,50000,2012,blanc,1st owner,28000,
Bajaj Discover 135,37000,2008,blanc,1st owner,62000,
Honda Livo,69000,2018,blanc,1st owner,12000,
Hero Honda Splendor NXG,28000,2012,blanc,1st owner,49999,
Bajaj Discover 125,25000,2011,blanc,1st owner,70000,
Yamaha FZ V 2.0,60000,2018,blanc,1st owner,25000,
Yamaha SZ-S,50000,2014,blanc,1st owner,20000,
Royal Enfield Thunderbird 350,135000,2016,blanc,1st owner,4500,
Bajaj Discover 125 M,30000,2014,blanc,1st owner,45000,
Yamaha FZ S [2012-2016],60000,2014,blanc,1st owner,68000,
Honda Activa [2000-2015],23000,2009,blanc,1st owner,95000,
Bajaj Xcd,20000,2009,blanc,1st owner,16000,
Bajaj Avenger Street 160,80000,2019,blanc,1st owner,5000,
Royal Enfield Electra 5 S,99000,2006,blanc,2nd owner,36000,
TVS Apache RTR 200 4V,90000,2018,blanc,1st owner,70000,
Hero Honda Splendor Plus,20000,2005,blanc,1st owner,27370,
Hero Glamour 125,50000,2017,blanc,1st owner,8600,
TVS Victor GLX,27000,2002,blanc,1st owner,49000,
Honda Grazia,60000,2018,blanc,1st owner,16000,
Bajaj Pulsar 150 [2001-2011],12000,2007,blanc,2nd owner,100000,
Hero Xtreme 2014,50000,2014,blanc,1st owner,10000,
Hero Pleasure,20000,2012,blanc,2nd owner,30000,
Hero Passion XPro,45000,2018,blanc,1st owner,7000,
Hero Super Splendor,40000,2013,blanc,1st owner,68000,
Yamaha FZ S [2012-2016],45000,2016,blanc,2nd owner,20000,
Honda Activa [2000-2015],25000,2015,blanc,1st owner,25000,
Hero Glamour FI,75000,2019,blanc,1st owner,8900,
Hero Honda Passion Plus,25000,2007,blanc,1st owner,70000,
Hero Splendor Plus,25000,2006,blanc,2nd owner,40000,
Hero Xpulse 200,100000,2019,blanc,1st owner,8500,
Honda CB Unicorn 150,30000,2012,blanc,1st owner,32000,
Bajaj Discover 135,25000,2010,blanc,1st owner,55000,
Hero Honda Splendor,10000,2006,blanc,1st owner,75000,
Hero Honda CD Deluxe,25000,2008,blanc,3rd owner,65000,
Royal Enfield Electra Twinspark,120000,2016,blanc,1st owner,345000,
Honda Dream Neo,42000,2014,blanc,1st owner,21000,
Hero Maestro,30000,2013,blanc,1st owner,60000,
Honda CBR150 R,77000,2014,blanc,1st owner,38000,
Honda CB Unicorn Dazzler,25000,2011,blanc,1st owner,40000,
TVS Apache [2006],15000,2006,blanc,1st owner,40000,
Hero Passion XPro,25000,2013,blanc,1st owner,25000,
Honda Activa 5G,50000,2018,blanc,1st owner,25000,
Honda Activa i,30000,2014,blanc,1st owner,25000,
TVS Apache RTR 200 4V,125000,2019,blanc,1st owner,3000,
Hero Honda CBZ extreme,35000,2011,blanc,1st owner,28000,
Suzuki Gixxer [2014-2018],45000,2015,blanc,1st owner,40000,
Hero Xpulse 200,98000,2019,blanc,1st owner,8500,
Bajaj Pulsar 150,75000,2017,blanc,1st owner,30000,
Bajaj Pulsar AS150,55000,2017,blanc,2nd owner,20000,
Bajaj Platina 100,25000,2013,blanc,1st owner,30000,
Honda CB Twister,70000,2014,blanc,1st owner,12566,
Suzuki SlingShot,24000,2011,blanc,1st owner,17000,
TVS Apache RTR 160,70000,2018,blanc,1st owner,17000,
Bajaj V12,45000,2017,blanc,1st owner,35000,
Hero Karizma 2014,25000,2015,blanc,1st owner,40000,
Yamaha YZF R15 V3,170000,2019,blanc,1st owner,1400,
Yamaha Fascino 110,38000,2016,blanc,1st owner,37000,
Honda CB Unicorn 160,45000,2015,blanc,1st owner,15000,
Yamaha Gladiator,15000,2009,blanc,1st owner,46000,
Hero Honda Glamour,45000,2012,blanc,1st owner,75000,
Bajaj Discover 100,22000,2014,blanc,1st owner,14289,
Mahindra Gusto,30000,2015,blanc,2nd owner,20000,
Royal Enfield Thunderbird 350,100000,2012,blanc,1st owner,28000,
Royal Enfield Classic 350,100000,2014,blanc,1st owner,19000,
Bajaj Pulsar 150,60000,2017,blanc,1st owner,28450,
Royal Enfield Electra Twinspark,100000,2014,blanc,1st owner,31500,
Bajaj Pulsar 150,40000,2016,blanc,1st owner,28000,
Bajaj Pulsar 150,21000,2007,blanc,1st owner,100000,
Hero HF Deluxe,40000,2018,blanc,1st owner,16000,
Honda Activa [2000-2015],25000,2007,blanc,1st owner,17860,
Yamaha FZ S [2012-2016],45000,2015,blanc,1st owner,24000,
Bajaj Avenger Cruise 220,75000,2016,blanc,1st owner,10950,
Honda Dio,45000,2017,blanc,1st owner,35850,
Honda Activa i [2016-2017],35000,2016,blanc,1st owner,29000,
Royal Enfield Bullet 350 [2007-2011],60000,2001,blanc,2nd owner,4000,
Yamaha FZ V 2.0,60000,2016,blanc,1st owner,45420,
Royal Enfield Classic 350,130000,2018,blanc,2nd owner,35000,
Honda CB Shine SP,42000,2017,blanc,1st owner,19800,
Bajaj V15,76000,2018,blanc,1st owner,23000,
Hero CBZ,40000,2014,blanc,1st owner,35000,
Hero Splendor Plus,65000,2018,blanc,1st owner,7500,
Bajaj Discover 100 T,20000,2013,blanc,1st owner,20000,
Honda CB Hornet 160R,75000,2016,blanc,1st owner,72000,
Honda CB Hornet 160R,70000,2018,blanc,1st owner,7000,
TVS Apache RTR 160 4V,105000,2019,blanc,1st owner,6000,
Honda CB Shine SP,50000,2017,blanc,1st owner,34300,
Royal Enfield Classic 350,120000,2017,blanc,1st owner,7199,
Bajaj Pulsar 180,25000,2011,blanc,1st owner,43000,
TVS XL 100,30000,2017,blanc,1st owner,8000,
Hero Super Splendor,50000,2017,blanc,1st owner,9999,
Hero Honda CBZ extreme,25000,2007,blanc,1st owner,80000,
Bajaj Pulsar 180,50000,2014,blanc,1st owner,30000,
Bajaj Discover 150,35000,2015,blanc,1st owner,12000,
Bajaj Pulsar 180,30000,2009,blanc,1st owner,17500,
Honda Shine,37000,2016,blanc,1st owner,45000,
Honda CB Unicorn 150,42000,2013,blanc,1st owner,38000,
Royal Enfield Himalayan,119000,2016,blanc,1st owner,19800,
Kawasaki Ninja 650 [2018-2019],300000,2011,blanc,1st owner,12000,
Royal Enfield Classic 350,130000,1993,blanc,2nd owner,10000,
Hero Honda Passion Plus,22000,2008,blanc,2nd owner,85000,
Hero Honda Splendor Plus,15000,2007,blanc,1st owner,70000,
Benelli TNT 25,160000,2017,blanc,1st owner,2009,
Royal Enfield Thunderbird 500X,185000,2018,blanc,1st owner,1500,
Royal Enfield Continental GT [2013 - 2018],110000,2014,blanc,1st owner,12077,
KTM RC 200,150000,2017,blanc,1st owner,20000,
Bajaj Pulsar 220F,45000,2011,blanc,1st owner,40000,
Bajaj Avenger Street 220,75000,2018,blanc,1st owner,12000,
Honda Activa 125 [2016-2017],50000,2017,blanc,1st owner,27000,
Honda Shine,30000,2013,blanc,1st owner,93000,
Bajaj Discover 150F,30000,2015,blanc,1st owner,12000,
Bajaj Pulsar 150 [2001-2011],22000,2011,blanc,1st owner,36000,
Hero Karizma ZMR,75000,2015,blanc,1st owner,11000,
Honda Dream Yuga,45000,2017,blanc,1st owner,26000,
Hero Glamour 125,35000,2014,blanc,1st owner,450000,
Honda Activa [2000-2015],35000,2012,blanc,1st owner,29000,
Bajaj CT 100,25000,2017,blanc,1st owner,45000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,13000,
Hero CD Dawn,10000,2005,blanc,1st owner,48000,
Royal Enfield Classic Gunmetal Grey,180000,2018,blanc,1st owner,5814,
Bajaj Discover 100,24000,2014,blanc,1st owner,31000,
Honda Shine,42000,2017,blanc,1st owner,25000,
TVS Max DLX,26000,2002,blanc,2nd owner,28000,
Honda Dio,60000,2018,blanc,1st owner,11000,
Bajaj Pulsar 180,72000,2017,blanc,1st owner,7850,
Royal Enfield Thunderbird 350,120000,2015,blanc,1st owner,10000,
Royal Enfield Thunderbird 350,59000,2005,blanc,2nd owner,40000,
Royal Enfield Classic Chrome,185000,2015,blanc,2nd owner,5000,
Royal Enfield Classic Gunmetal Grey,140000,2018,blanc,1st owner,14000,
KTM 390 Duke,205000,2018,blanc,1st owner,7500,
Hero Pleasure [2005-2015],30000,2013,blanc,1st owner,25000,
TVS Victor,18000,2004,blanc,1st owner,46700,
Bajaj Pulsar 150,35000,2011,blanc,1st owner,12000,
KTM RC 200,185000,2019,blanc,1st owner,6000,
Kawasaki Ninja 300,300000,2016,blanc,1st owner,9800,
Honda Dream Yuga,30000,2015,blanc,2nd owner,46070,
Bajaj Pulsar 150,35000,2009,blanc,1st owner,14500,
Bajaj Pulsar 150 [2001-2011],35000,2008,blanc,1st owner,70000,
Hero Honda Passion Plus,25000,2008,blanc,2nd owner,100000,
Yamaha YZF R15 [2011-2018],80000,2013,blanc,1st owner,30000,
Hero Honda Splendor Plus,20000,2004,blanc,2nd owner,127000,
Hero Karizma ZMR,43000,2012,blanc,2nd owner,63000,
Hero Honda Splendor Plus,20000,2010,blanc,2nd owner,30000,
AC,20000,2011,blanc,1st owner,10000,
Hero Splendor iSmart,40000,2015,blanc,1st owner,10000,
Hero Super Splendor,30000,2011,blanc,1st owner,89000,
Bajaj Discover 100,21000,2009,blanc,1st owner,50000,
Yamaha Fazer [2009-2016],35000,2011,blanc,1st owner,15500,
Bajaj Discover 125,23000,2011,blanc,1st owner,66000,
Hero Super Splendor,40000,2017,blanc,2nd owner,80000,
Honda Shine,40000,2011,blanc,1st owner,8600,
Bajaj Discover 125 M,45000,2014,blanc,1st owner,40000,
Bajaj Avenger Street 150 [2018],60000,2016,blanc,1st owner,25000,
Yamaha Fazer [2009-2016],40000,2013,blanc,1st owner,34500,
Hero Passion X Pro [2016-2017],42000,2016,blanc,1st owner,15500,
Honda Activa [2000-2015],18000,2011,blanc,1st owner,28000,
TVS Star City,15000,2006,blanc,1st owner,40000,
Hero Honda Hunk,45000,2013,blanc,1st owner,40000,
TVS Star City,25000,2016,blanc,1st owner,50000,
Bajaj Pulsar 150,70000,2017,blanc,1st owner,24000,
Bajaj Discover 100,23000,2012,blanc,1st owner,50000,
TVS Victor,10000,2005,blanc,1st owner,55000,
Hero Honda Splendor Plus,25000,2012,blanc,1st owner,70000,
Honda Aviator,25000,2012,blanc,2nd owner,12000,
Bajaj Pulsar 180,50000,2010,blanc,1st owner,70000,
Bajaj Avenger [2015],60000,2015,blanc,2nd owner,16000,
Hero CD Dawn,35000,2014,blanc,1st owner,38000,
Hero Maestro,50000,2016,blanc,1st owner,100000,
Honda CB Shine SP,50000,2016,blanc,1st owner,45000,
Hero Honda CD Deluxe,25500,2012,blanc,1st owner,28990,
Hero Honda Hunk,35000,2010,blanc,1st owner,13000,
Hero Honda CD Deluxe,20000,2005,blanc,1st owner,15000,
Honda Activa 3G,40000,2016,blanc,1st owner,60000,
Bajaj Pulsar 135 LS,45000,2017,blanc,1st owner,22000,
Bajaj Pulsar 150 [2001-2011],30000,2008,blanc,1st owner,19500,
Hero Pleasure,30000,2013,blanc,1st owner,25000,
Hero Honda CBZ extreme,30000,2011,blanc,3rd owner,70000,
Bajaj Pulsar 150,40000,2014,blanc,2nd owner,65000,
Honda CB Twister,25000,2012,blanc,1st owner,86000,
Honda Livo,45000,2017,blanc,1st owner,30000,
Bajaj Pulsar AS200,65000,2015,blanc,1st owner,33000,
Honda Activa 3G,40000,2015,blanc,1st owner,36000,
Hero Honda Hunk,40000,2010,blanc,1st owner,41000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,28000,
Hero HF Deluxe,35000,2018,blanc,1st owner,15000,
Hero Splendor PRO,35000,2015,blanc,1st owner,35280,
Bajaj Boxer,15000,2004,blanc,1st owner,18000,
Royal Enfield Electra 5 S,99000,2012,blanc,1st owner,28000,
Royal Enfield Electra 5 S,90000,2012,blanc,1st owner,40000,
Hero Honda Hunk,20000,2010,blanc,1st owner,17000,
Hero Ignitor,36000,2016,blanc,1st owner,23000,
Bajaj Discover 100 M,32000,2014,blanc,1st owner,30000,
Honda Activa 3G,50000,2016,blanc,1st owner,6000,
Bajaj Pulsar 135 LS,50000,2015,blanc,1st owner,48000,
Bajaj Pulsar 220 DTS-i,60000,2014,blanc,1st owner,16000,
Hero Honda CBZ extreme,40000,2009,blanc,1st owner,50000,
Hero Honda CBZ extreme,35000,2012,blanc,1st owner,60000,
Royal Enfield Thunder 500,175000,2018,blanc,1st owner,3000,
UM Renegade Mojave,170000,2019,blanc,1st owner,1400,
KTM RC200,165000,2019,blanc,1st owner,4000,
Bajaj Dominar 400,145000,2019,blanc,1st owner,1200,
Royal Enfield Classic 350,135000,2019,blanc,1st owner,4100,
KTM RC390,135000,2017,blanc,1st owner,21700,
Hyosung GT250R,135000,2016,blanc,2nd owner,16500,
Royal Enfield Thunder 350,125000,2015,blanc,1st owner,15000,
Royal Enfield Thunder 350,120000,2018,blanc,1st owner,18000,
Royal Enfield Classic 350,120000,2019,blanc,1st owner,11000,
KTM RC200,120000,2018,blanc,1st owner,6000,
Royal Enfield Thunder 350,115000,2018,blanc,1st owner,8700,
KTM 390 Duke ,115000,2016,blanc,1st owner,7000,
Mahindra Mojo XT300,115000,2018,blanc,1st owner,35000,
Royal Enfield Classic 350,115000,2017,blanc,1st owner,17000,
Royal Enfield Classic 350,111000,2017,blanc,1st owner,17500,
Royal Enfield Classic 350,110000,2015,blanc,1st owner,33000,
Royal Enfield Thunder 500,110000,2017,blanc,1st owner,14000,
Royal Enfield Classic 350,110000,2017,blanc,1st owner,26000,
Royal Enfield Thunder 500,105000,2015,blanc,1st owner,5400,
Bajaj Pulsar RS200,105000,2018,blanc,1st owner,5700,
Royal Enfield Thunder 350,105000,2013,blanc,1st owner,6900,
Royal Enfield Bullet 350,105000,2018,blanc,1st owner,6000,
Royal Enfield Classic 350,100000,2015,blanc,1st owner,46500,
Royal Enfield Classic 500,95000,2014,blanc,1st owner,11500,
Royal Enfield Classic 500,90000,2011,blanc,1st owner,40000,
Bajaj Avenger 220,90000,2019,blanc,1st owner,1300,
Bajaj Avenger 150,75000,2018,blanc,1st owner,7000,
Honda CB Hornet 160R,80000,2019,blanc,1st owner,3000,
Yamaha FZ S V 2.0,78000,2019,blanc,1st owner,5000,
Honda CB Hornet 160R,75000,2019,blanc,1st owner,11000,
Yamaha FZ 16,75000,2017,blanc,1st owner,18000,
Bajaj Avenger 220,75000,2019,blanc,1st owner,3500,
Bajaj Avenger 220,72000,2018,blanc,1st owner,500,
TVS Apache RTR 160,65000,2019,blanc,1st owner,11800,
Bajaj Pulsar 150,65000,2017,blanc,1st owner,5000,
Honda CBR 150,65000,2016,blanc,1st owner,23500,
Hero Extreme,65000,2015,blanc,1st owner,16000,
Honda CB Hornet 160R,60000,2018,blanc,1st owner,15000,
Bajaj Avenger 220 dtsi,60000,2017,blanc,1st owner,16600,
Honda CBR 150,60000,2015,blanc,1st owner,32000,
Bajaj Avenger 150 street,60000,2018,blanc,1st owner,20000,
Yamaha FZ  v 2.0,60000,2017,blanc,1st owner,29000,
Yamaha FZ  v 2.0,60000,2018,blanc,1st owner,25000,
Bajaj Pulsar  NS 200,60000,2016,blanc,1st owner,25000,
TVS Apache RTR 160,60000,2014,blanc,1st owner,19000,
Hero Extreme,55000,2016,blanc,1st owner,15000,
Yamaha FZ S V 2.0,55000,2017,blanc,1st owner,58000,
Bajaj Pulsar 220 F,52000,2012,blanc,1st owner,45000,
Bajaj Pulsar 220 F,51000,2018,blanc,1st owner,24000,
TVS Apache RTR 180,50000,2013,blanc,1st owner,6000,
Hero Passion X pro,50000,2018,blanc,1st owner,31000,
Bajaj Pulsar NS 200,50000,2014,blanc,1st owner,13000,
Bajaj Pulsar NS 200,50000,2015,blanc,1st owner,45000,
Yamaha Fazer ,50000,2016,blanc,1st owner,8000,
Honda Activa 4G,48000,2019,blanc,1st owner,4300,
TVS Sport ,48000,2019,blanc,1st owner,15000,
Yamaha FZ S V 2.0,48000,2017,blanc,1st owner,23000,
Honda Dream Yuga ,48000,2019,blanc,1st owner,8600,
Honda Activa 4G,45000,2019,blanc,1st owner,4000,
Bajaj Avenger Street 220,45000,2013,blanc,1st owner,24000,
TVS Apache RTR 180,45000,2016,blanc,1st owner,23000,
Bajaj Pulsar NS 200,45000,2014,blanc,1st owner,14500,
Bajaj Avenger 220 dtsi,45000,2012,blanc,1st owner,27000,
Hero Splender iSmart,45000,2018,blanc,1st owner,14000,
Activa 3g,45000,2018,blanc,1st owner,500,
Hero Passion Pro,45000,2018,blanc,1st owner,1000,
TVS Apache RTR 160,42000,2016,blanc,1st owner,42000,
Honda CB Trigger,42000,2015,blanc,1st owner,12000,
Hero Splender iSmart,40000,2017,blanc,1st owner,14000,
Yamaha FZ S ,40000,2014,blanc,1st owner,5500,
Hero Passion Pro,40000,2017,blanc,1st owner,6700,
Bajaj Pulsar 135 LS,40000,2016,blanc,1st owner,13700,
Activa 4g,40000,2019,blanc,1st owner,1300,
Honda CB Unicorn,38000,2017,blanc,1st owner,38600,
Hero Honda CBZ extreme,38000,2013,blanc,1st owner,75000,
Honda Karizma,35000,2013,blanc,1st owner,30000,
Honda Activa 125,35000,2018,blanc,1st owner,24000,
TVS Jupyter,35000,2016,blanc,1st owner,19000,
Honda Karizma,31000,2012,blanc,1st owner,213000,
Hero Honda Passion Pro,30000,2014,blanc,1st owner,60000,
Hero Splender Plus,30000,2018,blanc,1st owner,50000,
Honda CB Shine,30000,2015,blanc,1st owner,30000,
Bajaj Discover 100,27000,2015,blanc,1st owner,21000,
Bajaj Pulsar 150,25000,2010,blanc,2nd owner,26000,
Suzuki Access 125,25000,2010,blanc,1st owner,1900,
TVS Wego,25000,2012,blanc,1st owner,22000,
Honda CB twister,25000,2015,blanc,1st owner,32000,
Hero Glamour,25000,2015,blanc,1st owner,18000,
Hero Super Splendor,20000,2007,blanc,1st owner,55000,
Bajaj Pulsar 150,20000,2010,blanc,1st owner,60000,
Bajaj Discover 125,20000,2014,blanc,2nd owner,25000,
Hero Hunk,20000,2009,blanc,2nd owner,49000,
Hero  Ignitor Disc,20000,2015,blanc,2nd owner,24000,
Hero  CBZ Xtreme,20000,2010,blanc,1st owner,50000,
Bajaj  ct 100,18000,2017,blanc,1st owner,35000,
Activa 3g,17000,2010,blanc,1st owner,500000,
Honda CB twister,16000,2012,blanc,1st owner,33000,
Bajaj Discover 125,15000,2013,blanc,2nd owner,35000,
Honda CB Shine,12000,2009,blanc,1st owner,53000,
Bajaj Pulsar 150,10000,2008,blanc,1st owner,92233,
eygwfyw,123,1234,blanc,4th owner,3212453,
